Data;Entrada 1;Saída 1;Entrada 2;Saída 2
1 - DOM;;;;
2 - SEG;09:03;14:05;15:12;18:36
3 - TER;09:19;14:02;15:10;18:48
4 - QUA;09:34;13:35;14:35;18:36
5 - QUI;09:16;13:02;14:41;19:21
6 - SEX;09:03;14:05;15:05;19:20
7 - SAB;;;;
8 - DOM;;;;
9 - FER;;;;
10 - TER;09:38;13:23;14:23;18:57
11 - QUA;09:15;12:47;13:57;18:06
12 - QUI;09:10;13:25;14:46;18:58
13 - SEX;08:57;13:39;14:52;18:38
14 - SAB;;;;
15 - DOM;;;;
16 - SEG;09:22;14:02;15:04;18:12
17 - TER;09:09;13:01;;
17 - TER;14:16;18:50;;
18 - QUA;09:14;13:53;15:07;18:46
19 - QUI;09:37;12:33;13:35;18:29
20 - SEX;09:01;13:49;15:00;19:03
21 - SAB;;;;
22 - DOM;;;;
23 - SEG;09:29;13:24;14:32;19:14
24 - TER;09:23;13:45;15:19;18:37
25 - QUA;09:13;13:35;15:12;18:51
26 - QUI;09:15;13:45;15:00;18:33
27 - SEX;09:16;14:46;;
27 - SEX;15:51;18:32;;
28 - SAB;;;;
29 - DOM;;;;
30 - SEG;09:17;15:00;16:09;18:51
31 - TER;09:06;13:23;14:29;19:26
1 - QUA;09:11;13:56;15:05;18:38
2 - QUI;09:15;14:33;15:33;18:30
3 - SEX;09:28;14:39;15:49;19:26
4 - SAB;;;;
5 - DOM;;;;
6 - SEG;09:19;14:54;;
6 - SEG;15:57;19:22;;
7 - TER;09:17;14:06;15:13;19:28
8 - QUA;09:32;14:02;15:05;18:33
9 - QUI;;;;
10 - SEX;;;;
11 - SAB;;;;
12 - DOM;;;;
13 - SEG;08:59;14:02;15:17;18:45
14 - TER;09:26;13:13;14:53;19:14
15 - QUA;09:23;12:42;;
16 - QUI;08:47;13:15;14:33;19:25
17 - SEX;08:56;14:24;15:40;18:06
18 - SAB;;;;
19 - DOM;;;;
20 - SEG;09:13;13:31;14:32;18:17
21 - TER;09:12;13:50;14:52;18:20
22 - QUA;;;;
23 - QUI;;;;
24 - SEX;;;;
25 - SAB;;;;
26 - DOM;;;;
27 - SEG;09:13;13:50;15:08;19:22
28 - TER;09:24;13:27;14:34;19:22
29 - QUA;10:22;13:55;14:58;18:15
30 - QUI;09:10;14:35;;
30 - QUI;16:04;18:31;;
31 - SEX;09:16;14:26;15:34;19:12
1 - SAB;;;;
2 - DOM;;;;
3 - SEG;09:18;14:22;15:22;18:56
4 - TER;09:18;14:37;15:37;18:17
5 - QUA;09:08;14:28;15:28;18:21
6 - QUI;08:51;12:58;;
6 - QUI;13:59;19:12;;
7 - FER;;;;
8 - SAB;;;;
9 - DOM;;;;
10 - SEG;09:14;13:35;14:51;19:12
11 - TER;09:05;14:07;15:07;18:33
12 - QUA;09:08;13:55;;
12 - QUA;15:29;19:06;;
13 - QUI;09:02;14:50;15:50;18:49
14 - FER;;;;
15 - SAB;;;;
16 - DOM;;;;
17 - SEG;09:19;13:21;14:22;19:25
18 - TER;09:05;13:14;;
18 - TER;14:21;19:15;;
19 - QUA;15:06;19:19;;
20 - QUI;16:42;19:41;;
21 - SEX;15:13;19:09;;
22 - SAB;;;;
23 - DOM;;;;
24 - SEG;14:47;19:23;;
25 - TER;15:12;19:17;;
26 - QUA;15:03;;;
26 - QUA;18:46;;;
27 - QUI;09:35;13:02;14:04;18:37
28 - SEX;09:25;12:27;14:01;19:24
29 - SAB;;;;
30 - DOM;;;;
1 - SEG;09:16;13:51;14:55;18:47
2 - TER;09:33;18:45;;
3 - QUA;09:30;12:49;14:15;18:44
4 - QUI;09:02;13:54;14:56;18:06
5 - SEX;09:38;13:18;;
5 - SEX;14:25;18:47;;
6 - SAB;;;;
7 - DOM;;;;
8 - SEG;09:14;14:11;16:40;18:55
